,prep,prep_pp,pp,defart_pp,htah,adj,verb,at_user,geotag
111,0,0,1,0,0,0,0,1,California
112,4,1,8,0,0,2,4,2,California
113,0,0,4,0,0,1,0,1,California
114,0,0,2,1,0,0,0,1,California
115,0,0,5,0,0,3,1,1,California
116,2,0,2,1,0,0,3,1,California
117,0,0,1,0,0,0,0,1,California
118,0,0,4,0,0,1,0,1,California
119,2,1,2,0,0,1,5,1,California
120,1,0,2,0,0,1,3,0,California
121,0,0,2,0,0,2,2,1,California
122,1,0,2,0,0,3,1,0,California
123,2,0,2,0,0,1,3,1,California
124,1,0,2,0,0,0,5,1,California
125,1,0,2,0,0,0,2,0,California
126,0,0,1,0,0,0,0,1,California
127,0,0,2,0,0,0,0,1,California
128,2,0,3,0,0,3,3,1,California
129,1,0,1,1,0,1,3,1,California
130,2,1,3,0,0,1,2,1,California
131,0,0,0,0,0,1,1,1,California
132,3,1,5,0,0,2,5,0,NewYork
133,1,0,8,0,1,3,1,1,NewYork
134,0,0,1,0,0,0,0,1,NewYork
135,1,0,6,1,0,1,3,0,NewYork
136,1,0,2,0,1,0,1,0,NewYork
137,2,0,3,0,1,1,1,0,NewYork
138,2,0,8,1,0,2,3,0,NewYork
139,0,0,4,0,0,2,2,0,NewYork
140,1,0,7,0,1,4,2,0,NewYork
141,3,0,8,0,1,1,3,0,NewYork
142,0,0,4,0,1,0,3,0,NewYork
143,0,0,2,0,1,1,1,8,NewYork
144,0,0,6,1,1,2,2,1,NewYork
145,0,0,5,0,1,0,1,1,NewYork
146,1,1,8,0,0,1,4,2,NewYork
147,1,1,6,0,1,3,4,0,NewYork
148,1,0,3,0,0,1,1,2,NewYork
149,0,0,3,0,0,3,3,2,NewYork
150,0,0,3,0,0,3,2,2,NewYork
151,3,1,6,1,0,3,5,0,NewYork
152,3,0,6,1,0,4,4,0,Georgia
153,0,0,1,0,0,0,0,1,Georgia
154,1,0,4,1,0,3,3,1,Georgia
155,0,0,10,0,0,5,3,2,Georgia
156,0,0,0,0,0,0,2,0,Georgia
157,2,0,2,0,0,1,2,1,Georgia
158,1,1,5,0,0,0,3,2,Georgia
159,0,0,1,0,0,0,0,1,Georgia
160,0,0,1,0,0,1,0,0,Georgia
161,1,0,5,0,0,4,5,1,Georgia
162,2,0,1,0,0,1,2,0,Georgia
163,1,0,6,1,0,0,2,0,Georgia
164,2,1,11,0,1,1,5,2,Georgia
165,0,0,6,0,2,2,4,2,Georgia
166,2,0,7,0,0,6,5,0,Georgia
167,2,0,2,0,0,0,7,1,Georgia
168,2,0,4,0,0,0,7,1,Georgia
169,0,0,1,0,0,0,0,1,Georgia
170,2,0,6,0,1,1,2,1,Georgia
171,0,0,1,0,0,0,0,1,Georgia
172,1,0,1,0,0,4,2,1,Georgia
173,0,0,2,0,0,1,1,1,Georgia
174,1,0,3,0,0,2,3,0,Georgia
175,2,1,5,0,0,3,2,1,Georgia
176,2,1,7,1,0,3,4,1,Georgia
177,3,1,5,0,0,2,6,0,Georgia
178,2,0,4,0,0,6,9,0,Georgia
179,0,0,1,0,0,1,2,1,Georgia
180,2,1,5,1,0,3,3,1,Georgia
181,2,0,3,0,0,0,2,0,Georgia
182,0,0,0,0,0,0,2,1,Georgia
183,3,0,6,0,0,2,2,1,Georgia
184,0,0,1,0,0,0,0,0,Georgia
185,2,0,7,2,0,1,5,0,Georgia
186,0,0,2,0,0,0,1,2,Georgia
187,0,0,3,0,1,0,2,1,Georgia
188,3,0,8,1,0,5,5,1,Georgia
189,0,0,2,0,0,0,1,1,Georgia
190,0,0,3,0,0,1,2,1,Georgia
191,0,0,3,0,0,0,0,0,Georgia
192,5,1,5,0,0,2,6,0,Georgia
193,4,1,8,1,0,4,6,1,NewYork
194,0,0,1,0,0,0,0,1,NewYork
195,2,0,3,0,0,0,5,0,NewYork
196,3,1,8,0,0,4,4,1,NewYork
197,2,0,5,0,0,2,6,1,NewYork
198,2,0,6,0,0,4,3,1,NewYork
199,0,0,0,0,0,1,1,1,NewYork
200,0,0,7,0,0,1,2,2,NewYork
201,0,0,3,0,0,0,0,1,NewYork
202,1,0,2,1,0,0,1,1,NewYork
203,0,0,3,0,0,1,2,1,NewYork
204,0,0,6,0,0,2,6,0,NewYork
205,0,0,3,0,0,1,3,1,NewYork
206,1,0,1,0,0,0,3,0,NewYork
207,0,0,1,0,0,0,2,1,NewYork
208,2,1,7,0,0,2,7,1,NewYork
209,1,0,2,1,0,1,1,0,NewYork
210,0,0,0,0,0,0,3,1,NewYork
211,0,0,2,0,0,0,1,1,NewYork
212,0,0,3,0,0,1,4,2,NewYork
213,1,0,3,1,0,0,2,0,NewYork
214,2,1,5,1,0,2,5,0,NewYork
215,1,0,5,0,0,0,3,1,NewYork
216,5,2,9,0,0,1,6,1,NewYork
217,1,0,5,1,0,0,0,1,NewYork
218,1,0,1,0,0,2,0,1,NewYork
219,1,0,2,0,0,1,1,1,California
220,1,0,5,0,0,1,3,1,California
221,2,0,2,0,1,2,3,1,California
222,0,0,3,0,2,1,1,1,California
223,2,0,2,1,0,1,2,1,California
224,3,1,7,1,0,1,7,0,California
225,0,0,2,0,0,1,4,1,California
226,1,0,1,0,0,0,1,0,California
227,2,0,6,0,3,2,5,1,California
228,2,0,4,2,0,2,5,0,California
229,2,0,4,0,1,2,2,0,California
230,0,0,3,0,1,3,5,0,California
231,3,0,4,0,0,1,4,1,California
232,2,0,7,0,0,2,2,1,California
233,1,0,6,0,0,2,3,1,California
234,1,0,4,0,2,4,5,0,California
235,2,0,6,0,3,5,4,0,California
236,2,1,6,0,4,1,2,0,California
237,0,0,1,0,1,0,0,10,California
238,0,0,1,0,1,0,0,10,California
239,3,0,5,0,0,2,5,0,California
240,0,0,1,0,1,0,0,10,California
241,0,0,2,0,2,0,0,10,California
242,0,0,1,0,1,0,0,9,California
243,4,0,3,0,0,0,4,2,California
244,3,1,6,0,0,3,3,1,California
245,2,0,2,0,0,3,5,1,California
246,2,0,7,1,2,3,1,0,California
247,5,0,8,2,1,1,2,3,California
248,3,0,4,1,1,1,4,0,California
249,1,0,2,0,1,1,3,0,California
250,2,0,6,1,3,3,3,1,California
251,2,0,3,0,0,1,6,1,California
252,2,0,2,0,0,1,3,2,California
253,2,0,8,0,0,0,2,1,California
254,4,0,5,0,0,5,5,2,California
255,0,0,6,0,0,2,7,2,California
256,2,0,5,0,0,5,5,1,California
257,1,0,4,1,1,1,1,3,California
258,2,0,4,1,1,2,3,1,California
259,1,0,4,0,2,1,2,1,California
260,1,1,7,0,0,0,1,0,California
261,0,0,7,0,0,4,2,3,California
262,4,0,4,0,0,4,4,0,California
263,0,0,4,0,1,5,0,0,California
264,5,0,6,0,1,1,4,1,California
265,1,0,2,0,1,1,2,0,California
266,0,0,2,0,0,0,3,1,California
267,0,0,3,0,0,0,2,3,California
268,3,1,2,0,1,0,3,0,California
269,1,0,9,1,0,2,6,0,California
270,1,1,2,0,1,2,2,0,Georgia
271,1,0,2,0,0,1,1,0,Georgia
272,0,0,2,0,0,1,3,0,Georgia
273,0,0,3,0,0,0,1,0,Georgia
274,1,0,2,0,0,4,2,1,Georgia
275,1,1,3,0,0,0,1,2,Georgia
276,1,0,2,0,1,0,2,0,Georgia
277,3,0,4,0,0,0,2,0,Georgia
278,0,0,0,0,0,2,4,0,Georgia
279,0,0,3,0,1,1,2,0,Georgia
280,0,0,1,0,2,1,4,4,Georgia
281,0,0,6,0,0,0,1,1,Georgia
282,1,0,7,0,0,1,2,2,Georgia
283,1,0,2,1,1,0,1,0,Georgia
284,1,0,4,0,0,0,3,0,Georgia
285,0,0,1,0,0,0,0,0,Georgia
286,0,0,4,0,0,1,2,1,Georgia
287,0,0,3,0,1,0,2,0,Georgia
288,1,0,4,0,0,2,0,0,Georgia
289,4,0,4,1,0,0,5,1,Georgia
290,0,0,3,0,1,1,2,1,Georgia
291,1,0,0,0,0,0,1,0,Georgia
292,0,0,1,0,0,0,3,1,Georgia
293,1,1,3,0,0,0,1,1,Georgia
294,2,0,7,0,1,1,4,0,Georgia
295,0,0,4,0,0,2,2,1,Georgia
296,0,0,4,0,0,1,1,0,Georgia
297,0,0,1,0,0,0,2,1,Georgia
298,4,2,6,0,0,1,2,0,Georgia
299,0,0,1,0,0,0,0,1,Georgia
300,1,0,3,0,0,1,1,1,Georgia
301,0,0,1,0,0,0,1,1,Georgia
302,2,0,6,1,0,1,2,0,Georgia
303,2,1,4,0,0,2,4,0,Georgia
304,3,1,8,0,0,5,3,1,Georgia
305,3,0,2,2,0,0,2,1,Georgia
306,0,0,1,0,0,0,0,1,Georgia
307,1,0,2,0,0,0,1,0,Georgia
308,0,0,2,0,0,0,0,1,Georgia
309,1,0,3,1,1,0,2,0,Georgia
310,1,0,3,1,0,1,0,1,Georgia
311,1,0,1,0,1,1,0,2,Georgia
312,0,0,1,0,0,0,0,1,Georgia
313,2,0,3,0,0,1,4,0,Georgia
314,1,1,7,1,1,3,3,1,Georgia
315,0,0,2,0,2,1,1,2,Georgia
316,0,0,3,0,1,0,2,0,Georgia
317,0,0,1,0,0,0,0,1,Georgia
318,1,0,5,0,0,1,3,1,Georgia
319,0,0,3,0,1,2,1,0,Georgia
320,0,0,2,0,0,0,2,1,Georgia
321,0,0,1,0,0,0,1,1,Georgia
322,1,0,1,0,0,3,0,1,Georgia
323,3,0,3,0,0,2,2,0,Georgia
324,0,0,1,0,1,0,0,0,Georgia
325,0,0,0,0,0,1,1,0,Georgia
326,1,0,7,0,0,1,3,2,Georgia
327,0,0,1,0,0,0,1,0,Georgia
328,0,0,3,0,1,0,2,1,Georgia
329,0,0,2,0,0,1,1,0,Georgia
330,0,0,0,0,0,0,0,0,Georgia
331,2,0,2,0,0,2,2,1,Georgia
332,1,0,2,0,0,1,2,1,Georgia
333,1,0,3,0,0,1,3,0,Georgia
334,2,1,5,2,0,1,3,1,Georgia
335,4,0,5,0,0,1,8,2,Georgia
336,0,0,4,0,0,0,2,1,Georgia
337,0,0,1,0,0,0,0,1,Georgia
338,0,0,2,0,0,1,0,1,Georgia
339,0,0,0,0,0,0,1,1,Georgia
340,0,0,1,0,0,0,1,0,Georgia
341,3,0,6,1,0,4,1,0,NewYork
342,0,0,1,0,0,1,0,1,NewYork
343,0,0,7,0,0,1,3,1,NewYork
344,0,0,6,0,0,0,3,0,NewYork
345,0,0,7,0,1,1,1,0,NewYork
346,1,1,5,1,0,0,1,0,NewYork
347,2,0,5,0,0,4,4,1,NewYork
348,1,0,4,0,1,0,2,0,NewYork
349,2,0,8,0,1,2,3,0,NewYork
350,1,1,3,0,0,1,1,0,NewYork
351,0,0,3,0,0,1,4,1,NewYork
352,2,1,12,0,0,4,5,1,NewYork
353,0,0,2,0,0,1,5,0,NewYork
354,3,1,9,0,0,4,2,0,NewYork
355,1,0,2,0,0,1,0,0,NewYork
356,2,0,7,0,0,2,7,1,NewYork
357,1,1,4,0,0,1,3,0,NewYork
358,0,0,5,0,1,0,2,4,NewYork
359,1,1,2,0,1,0,2,1,NewYork
360,0,0,1,0,0,0,0,1,NewYork
361,0,0,5,0,1,3,3,1,NewYork
362,0,0,5,0,0,1,2,1,NewYork
363,1,1,4,0,0,2,1,1,NewYork
364,0,0,2,0,0,1,0,3,NewYork
365,1,0,1,0,0,2,1,1,NewYork
366,0,0,1,0,0,0,0,1,Georgia
367,4,0,8,0,1,2,6,0,Georgia
368,0,0,2,0,0,1,1,1,Georgia
369,0,0,3,0,0,0,1,1,Georgia
370,3,0,3,0,0,2,1,1,Georgia
371,0,0,2,0,0,0,0,1,Georgia
372,3,0,2,0,0,1,2,1,Georgia
373,2,1,7,0,0,2,3,0,Georgia
374,1,1,9,0,1,2,1,2,Georgia
375,0,0,2,0,0,0,0,1,Georgia
376,0,0,1,0,0,0,0,1,Georgia
377,0,0,3,0,0,0,0,1,Georgia
378,0,0,2,0,0,1,1,1,Georgia
379,1,0,4,0,0,1,2,1,Georgia
380,3,0,5,0,0,4,6,2,Georgia
381,1,0,8,0,0,1,4,2,Georgia
382,1,0,2,0,0,2,2,1,Georgia
383,0,0,1,0,0,1,1,1,Georgia
384,0,0,1,0,0,1,2,2,Georgia
385,1,0,6,0,1,1,1,0,Georgia
386,0,0,2,0,0,0,1,1,Georgia
387,2,0,4,0,0,2,1,1,Georgia
388,3,0,0,0,0,0,3,0,Georgia
389,0,0,1,0,0,0,2,0,Georgia
390,0,0,4,0,0,1,0,1,Georgia
391,0,0,3,0,0,0,1,1,Georgia
392,2,1,7,1,0,1,2,0,Georgia
393,3,0,5,0,0,1,6,0,Georgia
394,0,0,3,0,0,2,2,0,Georgia
395,1,0,3,0,0,1,2,1,Georgia
396,2,0,4,1,0,0,4,1,Georgia
397,3,0,7,0,0,1,3,1,Georgia
398,0,0,1,0,0,1,0,1,Georgia
399,1,0,1,0,0,0,1,0,Georgia
400,0,0,5,0,0,4,3,1,Georgia
401,0,0,2,0,0,0,0,1,Georgia
402,2,1,5,1,0,2,2,0,Georgia
403,0,0,1,0,0,0,2,1,Georgia
404,0,0,1,0,0,0,0,1,Georgia
405,0,0,1,0,0,0,0,1,Georgia
406,0,0,2,0,0,0,0,0,Georgia
407,0,0,2,0,0,3,2,0,Georgia
408,0,0,2,0,1,0,0,1,Georgia
409,3,0,4,1,1,1,3,0,Georgia
410,1,0,4,1,0,0,0,1,Georgia
411,6,2,14,0,1,4,2,0,Georgia
412,0,0,2,0,0,0,2,1,Georgia
413,0,0,1,0,0,0,0,1,Georgia
414,2,1,4,0,0,1,3,0,Georgia
415,0,0,4,0,0,4,2,2,Georgia
416,4,1,6,0,1,6,4,0,Georgia
417,0,0,2,0,0,0,1,1,Georgia
418,0,0,6,0,0,3,4,2,Georgia
419,1,0,2,0,0,0,0,1,Georgia
420,0,0,4,0,0,1,1,0,Georgia
421,1,1,8,0,0,1,0,1,Georgia
422,1,0,6,1,0,1,1,1,Georgia
423,0,0,1,0,0,0,0,1,Georgia
424,1,0,1,0,0,2,2,0,Georgia
425,1,0,3,2,0,0,3,0,Georgia
426,3,0,9,0,1,4,2,0,Georgia
427,1,0,1,0,0,2,1,0,Georgia
428,0,0,5,0,0,4,1,1,Georgia
429,0,0,2,0,0,1,0,1,Georgia
430,0,0,0,0,0,0,1,1,Georgia
431,3,0,7,0,0,5,4,1,Georgia
432,0,0,2,0,0,0,0,0,Georgia
433,0,0,2,0,0,0,1,1,Georgia
434,1,0,4,0,0,2,1,1,Georgia
435,0,0,2,0,0,0,1,1,Georgia
436,6,2,7,1,0,1,4,1,Georgia
437,2,0,5,0,1,3,5,0,Georgia
438,0,0,1,0,0,0,0,1,Georgia
439,1,0,3,0,1,1,2,1,Georgia
440,1,0,6,0,0,2,4,0,Georgia
441,0,0,2,0,1,1,2,0,Georgia
442,0,0,3,0,0,0,0,1,Georgia
443,1,0,4,0,0,1,2,1,Georgia
444,1,0,1,0,0,0,0,1,Georgia
445,1,0,0,0,0,0,0,1,Georgia
446,0,0,3,1,1,0,1,3,Georgia
447,0,0,1,0,0,0,0,1,Georgia
448,0,0,1,0,0,0,0,1,Georgia
449,2,1,12,0,0,4,6,0,Georgia
450,3,0,8,1,0,3,6,0,Georgia
451,0,0,6,0,0,5,6,1,NewYork
452,1,0,6,0,0,1,2,0,NewYork
453,0,0,3,0,0,1,1,1,NewYork
454,0,0,1,0,0,1,0,1,NewYork
455,0,0,2,0,0,1,0,1,NewYork
456,0,0,2,0,0,0,0,1,NewYork
457,0,0,1,0,0,0,0,1,NewYork
458,3,1,4,0,0,2,3,0,NewYork
459,0,0,1,0,0,0,0,1,NewYork
460,0,0,3,0,0,0,0,0,NewYork
461,0,0,1,0,0,0,0,1,NewYork
462,0,0,1,0,0,0,0,1,NewYork
463,0,0,2,0,0,0,0,1,NewYork
464,0,0,2,0,1,1,2,0,NewYork
465,2,1,7,0,0,1,2,0,NewYork
466,0,0,7,0,0,2,2,1,NewYork
467,0,0,2,0,0,1,0,1,NewYork
468,0,0,0,0,0,1,1,1,NewYork
469,0,0,1,0,0,0,0,1,NewYork
470,1,0,4,0,0,2,2,1,NewYork
471,4,1,8,0,0,2,8,1,NewYork
472,3,0,10,0,1,3,0,0,NewYork
473,0,0,4,0,0,1,1,1,NewYork
474,0,0,2,0,0,0,0,1,NewYork
475,1,0,4,0,0,2,4,0,NewYork
476,0,0,2,0,0,0,2,1,NewYork
477,1,1,3,0,0,1,0,1,NewYork
478,2,2,8,0,0,0,2,0,NewYork
479,1,1,4,0,0,1,1,1,NewYork
480,0,0,2,0,0,1,1,1,NewYork
481,0,0,4,0,0,0,2,0,NewYork
482,0,0,2,0,0,3,5,1,NewYork
483,1,1,3,0,0,1,2,1,NewYork
484,2,1,4,0,0,1,1,1,NewYork
485,0,0,4,0,0,0,2,1,NewYork
486,0,0,4,0,0,3,1,1,NewYork
487,1,0,7,0,0,4,1,1,NewYork
488,2,1,7,0,0,3,3,1,NewYork
489,0,0,5,0,1,2,1,1,NewYork
490,0,0,2,0,0,0,2,1,NewYork
491,0,0,9,0,0,3,1,2,NewYork
492,4,0,5,0,1,4,3,1,NewYork
493,0,0,0,0,0,0,0,1,NewYork
494,1,0,5,0,0,1,4,1,NewYork
495,0,0,1,0,0,0,0,0,NewYork
496,0,0,1,0,0,0,0,0,NewYork
497,0,0,1,0,0,0,1,0,NewYork
498,1,0,5,0,1,2,3,1,NewYork
499,0,0,1,0,1,0,2,1,NewYork
500,0,0,6,0,1,0,1,1,NewYork
501,0,0,5,0,1,1,2,1,NewYork
502,0,0,5,0,1,0,1,1,NewYork
503,0,0,2,0,0,1,1,1,NewYork
504,1,1,6,0,0,1,3,1,NewYork
505,0,0,2,0,1,3,0,1,NewYork
506,0,0,5,0,1,1,0,1,NewYork
507,1,1,3,0,0,0,1,1,NewYork
508,1,0,7,0,0,3,3,1,NewYork
509,1,0,3,0,0,0,0,0,NewYork
510,2,1,5,0,0,3,4,1,NewYork
511,0,0,3,0,0,0,0,1,NewYork
512,0,0,2,0,0,0,1,1,NewYork
513,0,0,0,0,0,0,0,1,NewYork
514,0,0,2,0,0,1,2,1,NewYork
515,1,0,3,1,0,0,1,0,NewYork
516,1,0,4,0,0,2,2,1,NewYork
517,1,0,6,0,0,1,3,2,NewYork
518,1,0,0,0,0,0,2,1,NewYork
519,0,0,2,0,0,0,0,1,NewYork
520,0,0,2,1,0,1,0,1,NewYork
521,4,1,4,0,0,2,1,0,NewYork
522,0,0,0,0,0,1,0,1,NewYork
523,1,0,6,0,1,1,2,1,NewYork
524,0,0,3,0,0,1,1,1,NewYork
525,0,0,3,0,0,1,0,1,NewYork
526,1,0,4,0,0,4,2,0,NewYork
527,1,1,7,0,0,1,1,1,NewYork
528,0,0,3,0,0,0,0,1,NewYork
529,1,0,2,1,0,0,2,0,NewYork
530,2,0,14,2,0,1,0,1,NewYork
531,2,0,6,0,0,3,4,1,NewYork
532,2,0,8,1,1,3,6,1,NewYork
533,0,0,6,0,0,1,1,1,NewYork
534,2,2,6,0,0,1,3,1,NewYork
535,0,0,1,0,0,0,1,1,NewYork
536,0,0,0,0,0,0,0,1,NewYork
537,2,0,5,0,0,2,3,1,NewYork
538,2,0,6,0,0,2,3,1,NewYork
539,0,0,2,0,0,1,1,1,NewYork
540,2,0,5,1,3,1,2,2,NewYork
541,0,0,5,0,0,1,1,1,NewYork
542,1,0,9,0,0,2,0,0,NewYork
543,0,0,4,0,0,1,2,1,NewYork
544,1,0,12,0,0,2,3,1,NewYork
545,0,0,0,0,0,0,0,1,NewYork
546,0,0,1,0,1,1,2,0,NewYork
547,1,0,5,0,0,1,0,1,NewYork
548,0,0,2,0,0,1,0,0,NewYork
549,1,0,1,0,0,0,1,0,NewYork
550,1,0,2,1,0,1,2,1,NewYork
551,3,0,9,2,0,2,1,1,NewYork
552,2,0,7,2,0,0,5,2,NewYork
553,0,0,5,0,0,2,0,0,NewYork
554,0,0,3,0,0,0,0,1,NewYork
555,0,0,2,0,0,3,4,1,NewYork
556,0,0,5,0,0,1,2,1,NewYork
557,2,0,6,0,0,5,5,1,NewYork
558,0,0,8,0,0,1,2,1,NewYork
559,2,1,9,0,0,6,2,2,NewYork
560,2,0,2,0,0,0,1,0,NewYork
561,3,1,8,0,0,1,4,1,NewYork
562,0,0,1,0,0,0,0,1,NewYork
563,0,0,2,0,0,0,0,1,NewYork
564,0,0,3,0,0,1,1,1,NewYork
565,2,1,7,0,0,3,5,2,NewYork
566,0,0,1,0,0,0,2,1,NewYork
567,0,0,1,0,0,0,0,1,NewYork
568,0,0,1,0,0,0,1,1,NewYork
569,3,0,4,0,0,3,3,2,NewYork
570,2,0,2,0,0,1,2,1,NewYork
571,0,0,1,0,0,0,0,1,NewYork
572,5,1,3,0,0,2,4,1,NewYork
573,1,1,5,0,0,1,3,1,NewYork
574,0,0,2,0,0,0,2,1,NewYork
575,0,0,3,0,0,0,4,1,NewYork
576,0,0,0,0,0,1,1,1,NewYork
577,2,0,2,0,0,2,5,1,NewYork
578,1,1,4,0,0,1,1,1,NewYork
579,1,1,3,0,0,0,2,0,NewYork
580,2,1,5,1,0,0,2,1,NewYork
581,0,0,3,0,0,0,2,1,NewYork
582,1,0,1,0,0,2,1,1,NewYork
583,1,0,1,0,0,0,1,1,NewYork
584,0,0,2,0,0,1,1,1,NewYork
585,0,0,2,0,0,1,0,1,NewYork
586,2,1,7,1,0,1,3,1,NewYork
587,1,0,1,0,0,0,2,1,NewYork
588,0,0,0,0,0,0,2,1,NewYork
589,0,0,5,0,0,1,4,2,NewYork
590,1,1,3,0,0,0,1,1,NewYork
591,1,0,2,0,1,0,0,1,NewYork
592,2,0,3,0,1,1,1,0,NewYork
593,1,0,3,0,0,3,1,4,NewYork
594,1,0,2,0,0,0,0,2,NewYork
595,0,0,3,0,0,0,1,1,NewYork
596,1,1,8,0,0,0,3,1,NewYork
597,0,0,0,0,0,1,1,1,NewYork
598,0,0,0,0,0,2,3,1,NewYork
599,0,0,1,0,0,0,0,1,NewYork
600,1,0,3,0,0,1,2,1,NewYork
601,3,2,3,0,0,1,4,0,NewYork
602,1,0,1,0,0,1,1,1,NewYork
603,0,0,4,0,0,1,2,1,NewYork
604,1,0,3,0,0,0,0,1,NewYork
605,5,0,3,0,0,1,2,0,Georgia
606,0,0,1,0,0,0,0,1,Georgia
607,2,0,5,0,1,0,1,1,Georgia
608,0,0,3,0,0,0,3,1,Georgia
609,0,0,2,0,0,1,0,1,Georgia
610,1,1,3,0,0,0,2,2,Georgia
611,0,0,2,0,0,1,0,0,Georgia
612,0,0,2,0,0,0,0,1,Georgia
613,2,0,4,1,1,1,3,0,Georgia
614,1,0,1,0,0,1,1,1,Georgia
615,1,0,3,0,0,2,2,1,Georgia
616,1,0,3,1,0,0,0,1,Georgia
617,0,0,2,0,0,0,1,1,Georgia
618,0,0,1,0,0,0,0,1,Georgia
619,0,0,2,0,0,0,1,1,Georgia
620,2,0,7,0,0,3,4,1,Georgia
621,0,0,1,0,0,1,1,1,Georgia
622,0,0,0,0,0,0,1,1,Georgia
623,2,0,2,0,1,0,1,0,Georgia
624,1,0,1,0,0,0,2,1,Georgia
